Sezon,Ic Saha Gol,Deplasman Gol,Toplam Gol
2018,43,25,68
2017,44,29,73
2016,38,37,75
2015,30,25,55
2014,26,27,53
2013,36,27,63
2012,31,24,55
2011,35,18,53
2010,28,19,47
2009,29,29,58
2008,33,25,58
2007,27,16,43
2006,24,28,52
2005,38,32,70
2004,37,28,65
2003,34,29,63
2002,30,39,69
2001,41,28,69
2000,38,36,74
1999,29,29,58
1998,27,29,56
1997,49,39,88
1996,47,26,73
1995,45,35,80
1994,37,21,58
1993,37,31,68
1992,31,27,58
1991,31,32,63
1990,46,31,77
1989,51,30,81
1988,41,27,68
1987,40,27,67
1986,44,21,65
1985,30,19,49
1984,21,19,40
1983,36,13,49
1982,20,18,38
1981,18,9,27
1980,14,11,25
1979,22,11,33
1978,26,7,33
1977,21,14,35
1976,18,7,25
1975,20,9,29
1974,21,13,34
1973,12,2,14
1972,17,11,28
1971,24,7,31
1970,18,8,26
1969,17,13,30
1968,23,19,42
1967,22,22,44
1966,20,32,52
1965,29,17,46
1964,29,28,57
1963,63,29,92
1962,26,22,48
1961,40,21,61
1960,40,28,68